domain,name,type,fakenewscodexc_url,description,url,date
12minutos.com,"12minutos.com",fake,http://www.fakenewscodex.com/fake-site/12minutos-com/,"Spanish clone version of React365, a &quot;prank&quot; website that allows users to create realistic-looking fake articles.",http://www.12minutos.com,"September 20, 2017"
16wmpo.com,"16 WMPO",fake,http://www.fakenewscodex.com/fake-site/16-wmpo/,"Fake news site that is not associated with any TV or radio station, despite the name. The site’s disclaimer page states flatly that the site is a satire and...",http://16wmpo.com,"September 18, 2017"
20minutenews.com,"20MinuteNews",fake,http://www.fakenewscodex.com/fake-site/20minutenews/,"Clickbait site that often includes dubiously sourced or entirely invented stories. The site is part of what BuzzFeed News calls the &quot;Celebtricity Network.&quot;...",http://20minutenews.com,"September 25, 2017"
21stcenturywire.com,"21st Century Wire",fake,http://www.fakenewscodex.com/fake-site/21st-century-wire/,"Genuinely unhinged &quot;alternative news agency&quot; that posts ridiculous conspiracy stories.",http://21stcenturywire.com,"December 5, 2016"
24aktuelles.com,"24aktuelles.com",fake,http://www.fakenewscodex.com/fake-site/24aktuelles-com/,"German Clone version of React365, a &quot;prank&quot; website that allows users to create realistic-looking fake articles.",http://www.24aktuelles.com,"September 20, 2017"
70news.wordpress.com,"70News",fake,http://www.fakenewscodex.com/fake-site/70news/,"Clickbait site with a hard right wing bias. Articles are often extremely poorly sourced, and sometimes entirely false. They received a great deal of media attention in November 2016, when...",https://70news.wordpress.com,"September 21, 2017"
100percentfedup.com,"100 Percent Fed Up",misleading,http://www.fakenewscodex.com/fake-site/100-percent-fed-up/,"Often exaggerates true stories to make them more sensational or to fit a political perspective.",http://100percentfedup.com,"December 5, 2016"
365usanews.com,"365 USA News",fake,http://www.fakenewscodex.com/fake-site/365-usa-news/,"Right-wing fake news site with sensationalized and misleading headlines, very poorly sourced articles.",http://365usanews.com,"December 13, 2016"
abcnews.com.co,"abc NEWS",fake,http://www.fakenewscodex.com/fake-site/abc-news/,"Fake news site with a misleading name and logo. Much of the site’s content is nonsensical filler and appears to be computer generated. Contact information for the site is listed...",http://abcnews.com.co,"December 5, 2016"
abriluno.com,"Abril Uno",satire,http://www.fakenewscodex.com/fake-site/abril-uno/,"Satirical fake news site. From the site’s footer: Abril Uno is a satirical web publication and uses invented names in all its stories, except in cases where public figures or...",http://abriluno.com,"September 23, 2017"
activistpost.com,"Activist Post",misleading,http://www.fakenewscodex.com/fake-site/activist-post/,"Site that posts misleading headlines and exaggerates true stories to be more sensational or to fit a political narrative.",http://www.activistpost.com,"December 5, 2016"
adobochronicles.com,"The Adobo Chronicles",satire,http://www.fakenewscodex.com/fake-site/the-adobo-chronicles/,"Philippine-themed parody news site. From the site’s about page: THE ADOBO CHRONICLES is your source of up-to-date, unbelievable news. Everything you read on this site is based on fact,...",https://adobochronicles.com,"December 5, 2016"
ageofautism.com,"Age of Autism",fake,http://www.fakenewscodex.com/fake-site/age-of-autism/,"Pseudoscientific site focused on links between vaccines and autism.",http://www.ageofautism.com,"December 9, 2016"
alertchild.com,"AlertChild",fake,http://www.fakenewscodex.com/fake-site/alertchild/,"Clickbait site that often includes dubiously sourced or entirely invented stories. The site is part of what BuzzFeed News calls the &quot;Celebtricity Network.&quot;...",http://alertchild.com,"September 25, 2017"
allnews4us.com,"All News 4 USA",fake,http://www.fakenewscodex.com/fake-site/all-news-4-usa/,"Fake news site that mostly publishes content stolen from other fake news sites, such as The Last Line of Defense.",http://allnews4us.com,"September 18, 2017"
allnewspipeline.com,"All News Pipeline",fake,http://www.fakenewscodex.com/fake-site/all-news-pipeline/,"Conspiracy-heavy fake news site. Started by contributors to Before It’s News.",http://allnewspipeline.com,"December 7, 2016"
alternativemediasyndicate.net,"Alternative Media Syndicate",fake,http://www.fakenewscodex.com/fake-site/alternative-media-syndicate/,"Extremely unreliable clickbait website that steals content, often word-for-word, from other sites. They do not check the reliability of their sources, and often remove important context from the stolen content.",http://alternativemediasyndicate.net,"October 4, 2017"
facebook.com/lovetheusaorgtfo,"America – Love It Or Leave It (Facebook Page)",misleading,http://www.fakenewscodex.com/fake-site/america-love-it-or-leave-it-facebook-page/,"A Facebook page that shares content from Freedom Junkshun, As American As Apple Pie, Last Line of Defense, Our Land of the Free and other &quot;satire&quot; sites in the Christopher Blair network...",https://www.facebook.com/lovetheusaorgtfo,"September 11, 2017"
